timestamp,quality_setting,expected_bitrate,protocol,length,PC,src_port,dst_port,tcp_flags,seq_num,ack_num,src_ip,dst_ip,ttl,is_spotify_tls,tls_record_length,iat,second,throughput_kbps
1763329044.7743201,Baja,24,TLS,1514,1,48144,443,0x0010,1,1,192.168.174.137,35.186.224.24,64,True,,,1763329044,26.28
1763329044.774328,Baja,24,TLS,715,1,48144,443,0x0018,1461,1,192.168.174.137,35.186.224.24,64,True,2116.0,7.867813110351562e-06,1763329044,26.28
1763329044.8335993,Baja,24,TLS,266,1,443,48144,0x0018,1,2122,35.186.224.24,192.168.174.137,128,True,128.0,0.05927133560180664,1763329044,26.28
1763329044.8606646,Baja,24,TLS,118,1,48144,443,0x0018,2122,213,192.168.174.137,35.186.224.24,64,True,1.0,0.027065277099609375,1763329044,26.28
1763329044.8733654,Baja,24,TLS,672,1,443,48144,0x0018,213,2186,35.186.224.24,192.168.174.137,128,True,551.0,0.012700796127319336,1763329044,26.28
1763329059.7362926,Baja,24,TLS,82,1,34164,443,0x0018,1,1,192.168.174.137,35.186.224.41,64,True,23.0,14.862927198410034,1763329059,1.28
1763329059.768497,Baja,24,TLS,78,1,443,34164,0x0018,1,29,35.186.224.41,192.168.174.137,128,True,19.0,0.032204389572143555,1763329059,1.28
1763329064.4163392,Baja,24,TLS,97,1,46728,443,0x0018,1,1,192.168.174.137,35.186.224.41,64,True,38.0,4.647842168807983,1763329064,1.528
1763329064.4500573,Baja,24,TLS,94,1,443,46728,0x0018,1,44,35.186.224.41,192.168.174.137,128,True,35.0,0.033718109130859375,1763329064,1.528
1763329089.7364423,Baja,24,TLS,82,1,34164,443,0x0018,29,25,192.168.174.137,35.186.224.41,64,True,23.0,25.28638505935669,1763329089,1.28
1763329089.7780626,Baja,24,TLS,78,1,443,34164,0x0018,25,57,35.186.224.41,192.168.174.137,128,True,19.0,0.04162025451660156,1763329089,1.28
1763329094.4519355,Baja,24,TLS,97,1,46728,443,0x0018,44,41,192.168.174.137,35.186.224.41,64,True,38.0,4.673872947692871,1763329094,1.528
1763329094.486116,Baja,24,TLS,94,1,443,46728,0x0018,41,87,35.186.224.41,192.168.174.137,128,True,35.0,0.034180402755737305,1763329094,1.528
1763329098.7744765,Baja,24,TLS,138,1,55798,443,0x0018,2,1,192.168.174.137,35.186.224.24,64,True,79.0,4.288360595703125,1763329098,11.768
1763329098.7745967,Baja,24,TLS,93,1,55798,443,0x0018,86,1,192.168.174.137,35.186.224.24,64,True,34.0,0.0001201629638671875,1763329098,11.768
1763329098.774788,Baja,24,TLS,914,1,55798,443,0x0018,125,1,192.168.174.137,35.186.224.24,64,True,855.0,0.00019121170043945312,1763329098,11.768
1763329098.8002467,Baja,24,TLS,93,1,443,55798,0x0018,1,985,35.186.224.24,192.168.174.137,128,True,34.0,0.025458812713623047,1763329098,11.768
1763329098.8503008,Baja,24,TLS,140,1,443,55798,0x0018,40,985,35.186.224.24,192.168.174.137,128,True,81.0,0.050054073333740234,1763329098,11.768
1763329098.8523338,Baja,24,TLS,93,1,55798,443,0x0018,985,126,192.168.174.137,35.186.224.24,64,True,34.0,0.0020329952239990234,1763329098,11.768
1763329119.736785,Baja,24,TLS,82,1,34164,443,0x0018,57,49,192.168.174.137,35.186.224.41,64,True,23.0,20.884451150894165,1763329119,1.28
1763329119.7933261,Baja,24,TLS,78,1,443,34164,0x0018,49,85,35.186.224.41,192.168.174.137,128,True,19.0,0.05654120445251465,1763329119,1.28
1763329124.5172505,Baja,24,TLS,97,1,46728,443,0x0018,87,81,192.168.174.137,35.186.224.41,64,True,38.0,4.723924398422241,1763329124,1.528
1763329124.5501785,Baja,24,TLS,94,1,443,46728,0x0018,81,130,35.186.224.41,192.168.174.137,128,True,35.0,0.0329279899597168,1763329124,1.528
1763329127.8739328,Baja,24,TLS,136,1,55798,443,0x0018,1024,126,192.168.174.137,35.186.224.24,64,True,77.0,3.32375431060791,1763329127,9.024
1763329127.8741555,Baja,24,TLS,93,1,55798,443,0x0018,1106,126,192.168.174.137,35.186.224.24,64,True,34.0,0.00022268295288085938,1763329127,9.024
1763329127.8744338,Baja,24,TLS,573,1,55798,443,0x0018,1145,126,192.168.174.137,35.186.224.24,64,True,514.0,0.00027823448181152344,1763329127,9.024
1763329127.897712,Baja,24,TLS,93,1,443,55798,0x0018,126,1664,35.186.224.24,192.168.174.137,128,True,34.0,0.023278236389160156,1763329127,9.024
1763329127.9593494,Baja,24,TLS,140,1,443,55798,0x0018,165,1664,35.186.224.24,192.168.174.137,128,True,81.0,0.06163740158081055,1763329127,9.024
1763329127.9616332,Baja,24,TLS,93,1,55798,443,0x0018,1664,251,192.168.174.137,35.186.224.24,64,True,34.0,0.002283811569213867,1763329127,9.024
1763329130.6880782,Baja,24,TLS,179,1,48628,443,0x0018,2,1,192.168.174.137,35.186.224.26,64,True,120.0,2.726444959640503,1763329130,4.776
1763329130.688203,Baja,24,TLS,93,1,48628,443,0x0018,127,1,192.168.174.137,35.186.224.26,64,True,34.0,0.00012493133544921875,1763329130,4.776
1763329130.714733,Baja,24,TLS,93,1,443,48628,0x0018,1,166,35.186.224.26,192.168.174.137,128,True,34.0,0.026529788970947266,1763329130,4.776
1763329130.7225964,Baja,24,TLS,139,1,443,48628,0x0018,40,166,35.186.224.26,192.168.174.137,128,True,80.0,0.007863521575927734,1763329130,4.776
1763329130.723786,Baja,24,TLS,93,1,48628,443,0x0018,166,125,192.168.174.137,35.186.224.26,64,True,34.0,0.0011897087097167969,1763329130,4.776
1763329138.3199816,Baja,24,TLS,138,1,52588,443,0x0018,2,1,192.168.174.137,35.186.224.26,64,True,79.0,7.596195459365845,1763329138,7.56
1763329138.3201435,Baja,24,TLS,93,1,52588,443,0x0018,86,1,192.168.174.137,35.186.224.26,64,True,34.0,0.00016188621520996094,1763329138,7.56
1763329138.3204327,Baja,24,TLS,164,1,52588,443,0x0018,125,1,192.168.174.137,35.186.224.26,64,True,105.0,0.0002892017364501953,1763329138,7.56
1763329138.3741465,Baja,24,TLS,93,1,443,52588,0x0018,1,235,35.186.224.26,192.168.174.137,128,True,34.0,0.05371379852294922,1763329138,7.56
1763329138.407567,Baja,24,TLS,275,1,443,52588,0x0018,40,235,35.186.224.26,192.168.174.137,128,True,76.0,0.033420562744140625,1763329138,7.56
1763329138.4093192,Baja,24,TLS,89,1,52588,443,0x0018,235,261,192.168.174.137,35.186.224.26,64,True,30.0,0.0017521381378173828,1763329138,7.56
1763329138.4094892,Baja,24,TLS,93,1,52588,443,0x0018,270,261,192.168.174.137,35.186.224.26,64,True,34.0,0.00016999244689941406,1763329138,7.56
1763329149.7371635,Baja,24,TLS,82,1,34164,443,0x0018,85,73,192.168.174.137,35.186.224.41,64,True,23.0,11.327674388885498,1763329149,1.28
1763329149.76998,Baja,24,TLS,78,1,443,34164,0x0018,73,113,35.186.224.41,192.168.174.137,128,True,19.0,0.032816410064697266,1763329149,1.28
1763329154.5513139,Baja,24,TLS,97,1,46728,443,0x0018,130,121,192.168.174.137,35.186.224.41,64,True,38.0,4.781333923339844,1763329154,1.528
1763329154.584539,Baja,24,TLS,94,1,443,46728,0x0018,121,173,35.186.224.41,192.168.174.137,128,True,35.0,0.033225059509277344,1763329154,1.528
1763329157.8764951,Baja,24,TLS,150,1,55798,443,0x0018,1703,251,192.168.174.137,35.186.224.24,64,True,91.0,3.2919561862945557,1763329157,6.808
1763329157.8768752,Baja,24,TLS,93,1,55798,443,0x0018,1799,251,192.168.174.137,35.186.224.24,64,True,34.0,0.0003800392150878906,1763329157,6.808
1763329157.8772862,Baja,24,TLS,272,1,55798,443,0x0018,1838,251,192.168.174.137,35.186.224.24,64,True,213.0,0.00041103363037109375,1763329157,6.808
1763329157.920251,Baja,24,TLS,93,1,443,55798,0x0018,251,2056,35.186.224.24,192.168.174.137,128,True,34.0,0.04296469688415527,1763329157,6.808
1763329157.9564333,Baja,24,TLS,150,1,443,55798,0x0018,290,2056,35.186.224.24,192.168.174.137,128,True,91.0,0.036182403564453125,1763329157,6.808
1763329157.95936,Baja,24,TLS,93,1,55798,443,0x0018,2056,386,192.168.174.137,35.186.224.24,64,True,34.0,0.0029265880584716797,1763329157,6.808
1763329179.7360826,Baja,24,TLS,82,1,34164,443,0x0018,113,97,192.168.174.137,35.186.224.41,64,True,23.0,21.77672266960144,1763329179,1.28
