timestamp,quality_setting,expected_bitrate,protocol,length,src_port,dst_port,tcp_flags,seq_num,ack_num,src_ip,dst_ip,ttl,is_spotify_tls,tls_record_length,iat,second,throughput_kbps
1763226609.599997,Baja,24,TLS,82,35774,443,0x0018,85,73,192.168.174.137,35.186.224.41,64,True,23.0,5.469561338424683,1763226609,1.28
1763226609.677945,Baja,24,TLS,78,443,35774,0x0018,73,113,35.186.224.41,192.168.174.137,128,True,19.0,0.07794785499572754,1763226609,1.28
1763226613.03689,Baja,24,TLS,97,35778,443,0x0018,130,121,192.168.174.137,35.186.224.41,64,True,38.0,3.35894513130188,1763226613,1.528
1763226613.0733109,Baja,24,TLS,94,443,35778,0x0018,121,173,35.186.224.41,192.168.174.137,128,True,35.0,0.03642082214355469,1763226613,1.528
1763226619.6481981,Baja,24,TLS,226,40902,443,0x0018,2,1,192.168.174.137,35.186.224.26,64,True,167.0,6.574887275695801,1763226619,9.72
1763226619.6485815,Baja,24,TLS,93,40902,443,0x0018,174,1,192.168.174.137,35.186.224.26,64,True,34.0,0.0003833770751953125,1763226619,9.72
1763226619.6929114,Baja,24,TLS,621,443,40902,0x0018,1,213,35.186.224.26,192.168.174.137,128,True,121.0,0.04432988166809082,1763226619,9.72
1763226619.6964107,Baja,24,TLS,89,40902,443,0x0018,213,568,192.168.174.137,35.186.224.26,64,True,30.0,0.003499269485473633,1763226619,9.72
1763226619.6966352,Baja,24,TLS,93,40902,443,0x0018,248,568,192.168.174.137,35.186.224.26,64,True,34.0,0.00022459030151367188,1763226619,9.72
1763226619.7006536,Baja,24,TLS,93,443,40902,0x0018,568,287,35.186.224.26,192.168.174.137,128,True,34.0,0.004018306732177734,1763226619,9.72
1763226639.599785,Baja,24,TLS,82,35774,443,0x0018,113,97,192.168.174.137,35.186.224.41,64,True,23.0,19.899131536483765,1763226639,1.28
1763226639.6359613,Baja,24,TLS,78,443,35774,0x0018,97,141,35.186.224.41,192.168.174.137,128,True,19.0,0.036176204681396484,1763226639,1.28
1763226643.0871894,Baja,24,TLS,97,35778,443,0x0018,173,161,192.168.174.137,35.186.224.41,64,True,38.0,3.451228141784668,1763226643,1.528
1763226643.124204,Baja,24,TLS,94,443,35778,0x0018,161,216,35.186.224.41,192.168.174.137,128,True,35.0,0.03701448440551758,1763226643,1.528
1763226669.6001327,Baja,24,TLS,82,35774,443,0x0018,141,121,192.168.174.137,35.186.224.41,64,True,23.0,26.475928783416748,1763226669,1.28
1763226669.63513,Baja,24,TLS,78,443,35774,0x0018,121,169,35.186.224.41,192.168.174.137,128,True,19.0,0.03499722480773926,1763226669,1.28
1763226673.3372762,Baja,24,TLS,97,35778,443,0x0018,216,201,192.168.174.137,35.186.224.41,64,True,38.0,3.702146291732788,1763226673,1.528
1763226673.385353,Baja,24,TLS,94,443,35778,0x0018,201,259,35.186.224.41,192.168.174.137,128,True,35.0,0.04807686805725098,1763226673,1.528
1763226677.5811815,Baja,24,TLS,165,41180,443,0x0018,2709,2406,192.168.174.137,35.186.224.26,64,True,106.0,4.195828437805176,1763226677,38.928
1763226677.5816286,Baja,24,TLS,93,41180,443,0x0018,2820,2406,192.168.174.137,35.186.224.26,64,True,34.0,0.0004470348358154297,1763226677,38.928
1763226677.5822399,Baja,24,TLS,1514,41180,443,0x0010,2859,2406,192.168.174.137,35.186.224.26,64,True,,0.0006113052368164062,1763226677,38.928
1763226677.5822465,Baja,24,TLS,564,41180,443,0x0018,4319,2406,192.168.174.137,35.186.224.26,64,True,1965.0,6.67572021484375e-06,1763226677,38.928
1763226677.6118371,Baja,24,TLS,93,443,41180,0x0018,2406,4829,35.186.224.26,192.168.174.137,128,True,34.0,0.029590606689453125,1763226677,38.928
1763226677.657366,Baja,24,TLS,1514,443,41180,0x0010,2445,4829,35.186.224.26,192.168.174.137,128,True,96.0,0.04552888870239258,1763226677,38.928
1763226677.657366,Baja,24,TLS,741,443,41180,0x0018,3905,4829,35.186.224.26,192.168.174.137,128,True,1407.0,0.0,1763226677,38.928
1763226677.6901653,Baja,24,TLS,89,41180,443,0x0018,4829,4592,192.168.174.137,35.186.224.26,64,True,30.0,0.03279924392700195,1763226677,38.928
1763226677.690893,Baja,24,TLS,93,41180,443,0x0018,4864,4592,192.168.174.137,35.186.224.26,64,True,34.0,0.0007276535034179688,1763226677,38.928
1763226679.1272826,Baja,24,TLS,1514,51530,443,0x0010,1,1,192.168.174.137,2.17.211.227,64,True,,1.436389684677124,1763226679,138.752
1763226679.1272917,Baja,24,TLS,712,51530,443,0x0018,1461,1,192.168.174.137,2.17.211.227,64,True,2113.0,9.059906005859375e-06,1763226679,138.752
1763226679.1520436,Baja,24,TLS,318,443,51530,0x0018,1,2119,2.17.211.227,192.168.174.137,128,True,128.0,0.024751901626586914,1763226679,138.752
1763226679.1552687,Baja,24,TLS,134,51530,443,0x0018,2119,265,192.168.174.137,2.17.211.227,64,True,1.0,0.003225088119506836,1763226679,138.752
1763226679.1682167,Baja,24,TLS,341,443,51530,0x0018,265,2199,2.17.211.227,192.168.174.137,128,True,282.0,0.012948036193847656,1763226679,138.752
1763226679.1722739,Baja,24,TLS,146,51530,443,0x0018,2199,552,192.168.174.137,2.17.211.227,64,True,87.0,0.004057168960571289,1763226679,138.752
1763226679.1725898,Baja,24,TLS,324,51530,443,0x0018,2291,552,192.168.174.137,2.17.211.227,64,True,265.0,0.0003159046173095703,1763226679,138.752
1763226679.1861825,Baja,24,TLS,146,443,51530,0x0018,552,2561,2.17.211.227,192.168.174.137,128,True,56.0,0.013592720031738281,1763226679,138.752
1763226679.190914,Baja,24,TLS,85,51530,443,0x0018,2561,644,192.168.174.137,2.17.211.227,64,True,26.0,0.004731416702270508,1763226679,138.752
1763226679.1980934,Baja,24,TLS,1514,443,51530,0x0010,644,2592,2.17.211.227,192.168.174.137,128,True,295.0,0.0071794986724853516,1763226679,138.752
1763226679.198094,Baja,24,TLS,983,443,51530,0x0018,3564,2592,2.17.211.227,192.168.174.137,128,True,3544.0,4.76837158203125e-07,1763226679,138.752
1763226679.7585568,Baja,24,TLS,1514,52742,443,0x0010,1,1,192.168.174.137,2.17.211.234,64,True,,0.5604629516601562,1763226679,138.752
1763226679.7585683,Baja,24,TLS,680,52742,443,0x0018,1461,1,192.168.174.137,2.17.211.234,64,True,2081.0,1.1444091796875e-05,1763226679,138.752
1763226679.7890427,Baja,24,TLS,318,443,52742,0x0018,1,2087,2.17.211.234,192.168.174.137,128,True,128.0,0.030474424362182617,1763226679,138.752
1763226679.7913387,Baja,24,TLS,134,52742,443,0x0018,2087,265,192.168.174.137,2.17.211.234,64,True,1.0,0.002295970916748047,1763226679,138.752
1763226679.792417,Baja,24,TLS,146,52742,443,0x0018,2167,265,192.168.174.137,2.17.211.234,64,True,87.0,0.0010783672332763672,1763226679,138.752
1763226679.7932587,Baja,24,TLS,505,52742,443,0x0018,2259,265,192.168.174.137,2.17.211.234,64,True,446.0,0.0008416175842285156,1763226679,138.752
1763226679.7935455,Baja,24,TLS,141,52742,443,0x0018,2710,265,192.168.174.137,2.17.211.234,64,True,82.0,0.0002868175506591797,1763226679,138.752
1763226679.8051672,Baja,24,TLS,341,443,52742,0x0018,265,2797,2.17.211.234,192.168.174.137,128,True,282.0,0.011621713638305664,1763226679,138.752
1763226679.8191183,Baja,24,TLS,1514,443,52742,0x0010,552,2797,2.17.211.234,192.168.174.137,128,True,56.0,0.01395106315612793,1763226679,138.752
1763226679.8191187,Baja,24,TLS,1075,443,52742,0x0018,3472,2797,2.17.211.234,192.168.174.137,128,True,3544.0,4.76837158203125e-07,1763226679,138.752
1763226679.8214977,Baja,24,TLS,1514,443,52742,0x0010,4493,2797,2.17.211.234,192.168.174.137,128,True,295.0,0.0023789405822753906,1763226679,138.752
1763226679.8218067,Baja,24,TLS,331,443,52742,0x0018,16173,2797,2.17.211.234,192.168.174.137,128,True,11652.0,0.000308990478515625,1763226679,138.752
1763226679.8856273,Baja,24,TLS,85,52742,443,0x0018,2797,16450,192.168.174.137,2.17.211.234,64,True,26.0,0.06382060050964355,1763226679,138.752
1763226679.9402764,Baja,24,TLS,150,40902,443,0x0018,287,607,192.168.174.137,35.186.224.26,64,True,91.0,0.05464911460876465,1763226679,138.752
1763226679.9405153,Baja,24,TLS,1514,40902,443,0x0010,383,607,192.168.174.137,35.186.224.26,64,True,34.0,0.00023889541625976562,1763226679,138.752
1763226679.9405246,Baja,24,TLS,334,40902,443,0x0018,6223,607,192.168.174.137,35.186.224.26,64,True,6076.0,9.298324584960938e-06,1763226679,138.752
1763226679.9552016,Baja,24,TLS,93,443,40902,0x0018,607,6503,35.186.224.26,192.168.174.137,128,True,34.0,0.014677047729492188,1763226679,138.752
1763226679.9887824,Baja,24,TLS,645,443,40902,0x0018,646,6503,35.186.224.26,192.168.174.137,128,True,502.0,0.033580780029296875,1763226679,138.752
1763226679.990609,Baja,24,TLS,93,40902,443,0x0018,6503,1237,192.168.174.137,35.186.224.26,64,True,34.0,0.0018265247344970703,1763226679,138.752
1763226680.010157,Baja,24,TLS,89,40902,443,0x0018,6542,1237,192.168.174.137,35.186.224.26,64,True,30.0,0.01954817771911621,1763226680,208.336
