timestamp,quality_setting,expected_bitrate,protocol,length,PC,src_port,dst_port,tcp_flags,seq_num,ack_num,src_ip,dst_ip,ttl,is_spotify_tls,tls_record_length,iat,second,throughput_kbps
1763321286.9665034,Muy alta,320,TLS,82,1,43776,443,0x0018,1,1,192.168.174.137,35.186.224.41,64,True,23.0,,1763321286,0.656
1763321287.0056314,Muy alta,320,TLS,78,1,443,43776,0x0018,1,29,35.186.224.41,192.168.174.137,128,True,19.0,0.03912806510925293,1763321287,0.624
1763321297.4297957,Muy alta,320,TLS,97,1,43786,443,0x0018,1,1,192.168.174.137,35.186.224.41,64,True,38.0,10.424164295196533,1763321297,1.528
1763321297.461796,Muy alta,320,TLS,94,1,443,43786,0x0018,1,44,35.186.224.41,192.168.174.137,128,True,35.0,0.03200030326843262,1763321297,1.528
1763321315.1546752,Muy alta,320,TLS,136,1,34640,443,0x0018,2,1,192.168.174.137,35.186.224.24,64,True,77.0,17.69287919998169,1763321315,9.016
1763321315.1548026,Muy alta,320,TLS,93,1,34640,443,0x0018,84,1,192.168.174.137,35.186.224.24,64,True,34.0,0.00012731552124023438,1763321315,9.016
1763321315.1550035,Muy alta,320,TLS,572,1,34640,443,0x0018,123,1,192.168.174.137,35.186.224.24,64,True,513.0,0.0002009868621826172,1763321315,9.016
1763321315.1819746,Muy alta,320,TLS,93,1,443,34640,0x0018,1,641,35.186.224.24,192.168.174.137,128,True,34.0,0.026971101760864258,1763321315,9.016
1763321315.2264013,Muy alta,320,TLS,140,1,443,34640,0x0018,40,641,35.186.224.24,192.168.174.137,128,True,81.0,0.044426679611206055,1763321315,9.016
1763321315.229114,Muy alta,320,TLS,93,1,34640,443,0x0018,641,126,192.168.174.137,35.186.224.24,64,True,34.0,0.002712726593017578,1763321315,9.016
1763321316.966415,Muy alta,320,TLS,82,1,43776,443,0x0018,29,25,192.168.174.137,35.186.224.41,64,True,23.0,1.7373008728027344,1763321316,1.28
1763321316.999987,Muy alta,320,TLS,78,1,443,43776,0x0018,25,57,35.186.224.41,192.168.174.137,128,True,19.0,0.03357195854187012,1763321316,1.28
1763321325.3162425,Muy alta,320,TLS,138,1,39838,443,0x0018,2,1,192.168.174.137,35.186.224.26,64,True,79.0,8.316255569458008,1763321325,7.48
1763321325.3167365,Muy alta,320,TLS,93,1,39838,443,0x0018,86,1,192.168.174.137,35.186.224.26,64,True,34.0,0.0004940032958984375,1763321325,7.48
1763321325.3168676,Muy alta,320,TLS,164,1,39838,443,0x0018,125,1,192.168.174.137,35.186.224.26,64,True,105.0,0.00013113021850585938,1763321325,7.48
1763321325.3424487,Muy alta,320,TLS,93,1,443,39838,0x0018,1,235,35.186.224.26,192.168.174.137,128,True,34.0,0.02558112144470215,1763321325,7.48
1763321325.373588,Muy alta,320,TLS,265,1,443,39838,0x0018,40,235,35.186.224.26,192.168.174.137,128,True,66.0,0.031139373779296875,1763321325,7.48
1763321325.377171,Muy alta,320,TLS,89,1,39838,443,0x0018,235,251,192.168.174.137,35.186.224.26,64,True,30.0,0.0035829544067382812,1763321325,7.48
1763321325.3773816,Muy alta,320,TLS,93,1,39838,443,0x0018,270,251,192.168.174.137,35.186.224.26,64,True,34.0,0.0002105236053466797,1763321325,7.48
1763321327.4641826,Muy alta,320,TLS,97,1,43786,443,0x0018,44,41,192.168.174.137,35.186.224.41,64,True,38.0,2.086801052093506,1763321327,1.528
1763321327.4985871,Muy alta,320,TLS,94,1,443,43786,0x0018,41,87,35.186.224.41,192.168.174.137,128,True,35.0,0.03440451622009277,1763321327,1.528
1763321346.9668138,Muy alta,320,TLS,82,1,43776,443,0x0018,57,49,192.168.174.137,35.186.224.41,64,True,23.0,19.468226671218872,1763321346,0.656
1763321347.0230024,Muy alta,320,TLS,78,1,443,43776,0x0018,49,85,35.186.224.41,192.168.174.137,128,True,19.0,0.05618858337402344,1763321347,0.624
1763321350.04564,Muy alta,320,TLS,78,1,443,44162,0x0018,1,2,2.17.112.205,192.168.174.137,128,True,19.0,3.0226376056671143,1763321350,1.248
1763321350.1515014,Muy alta,320,TLS,78,1,443,58160,0x0018,1,2,2.17.112.149,192.168.174.137,128,True,19.0,0.10586142539978027,1763321350,1.248
1763321357.4999652,Muy alta,320,TLS,97,1,43786,443,0x0018,87,81,192.168.174.137,35.186.224.41,64,True,38.0,7.348463773727417,1763321357,1.528
1763321357.5332718,Muy alta,320,TLS,94,1,443,43786,0x0018,81,130,35.186.224.41,192.168.174.137,128,True,35.0,0.03330659866333008,1763321357,1.528
1763321376.965782,Muy alta,320,TLS,82,1,43776,443,0x0018,85,73,192.168.174.137,35.186.224.41,64,True,23.0,19.432510137557983,1763321376,1.28
1763321376.9988825,Muy alta,320,TLS,78,1,443,43776,0x0018,73,113,35.186.224.41,192.168.174.137,128,True,19.0,0.03310060501098633,1763321376,1.28
1763321387.53454,Muy alta,320,TLS,97,1,43786,443,0x0018,130,121,192.168.174.137,35.186.224.41,64,True,38.0,10.535657405853271,1763321387,1.528
1763321387.5695567,Muy alta,320,TLS,94,1,443,43786,0x0018,121,173,35.186.224.41,192.168.174.137,128,True,35.0,0.035016775131225586,1763321387,1.528
